ID,Nombre,Apellido,Categoría,TiempoLlegada,TiempoEsperaSegundos
P0001,Guillermo,Lean,3,0,0
P0002,Marcos,Grande,5,600,300
P0003,Guillermo,Solis,5,1200,0
P0004,Marta,Beast,1,1800,0
P0005,Alpha,Khalifa,3,2400,300
P0006,Auron,Play,1,3000,0
P0007,Mia,Slimming,2,3600,0
P0008,Auron,Grefg,3,4200,300
P0009,Mr,Alonso,4,4800,0
P0010,Mariana,Díaz,2,5400,0
P0011,Marta,Grefg,1,6000,300
P0012,The,Villavicencio,2,6600,0
P0013,Marcos,Fantoval,4,7200,0
P0014,Mariana,Sniper,4,7800,300
P0015,Mr,Beast,4,8400,0
P0016,Jose,Khalifa,2,9000,0
P0017,Auron,Solis,5,9600,300
P0018,The,Play,2,10200,0
P0019,Mr,Slimming,5,10800,0
P0020,Marta,Fantoval,4,11400,300
P0021,Marcos,García,5,12000,0
P0022,Mr,Solis,5,12600,0
P0023,Auron,García,5,13200,300
P0024,Marta,Villavicencio,5,13800,0
P0025,The,Play,4,14400,0
P0026,Marta,Beast,5,15000,300
P0027,Marta,Alonso,5,15600,0
P0028,Laura,Play,2,16200,0
P0029,Mr,Grefg,4,16800,300
P0030,Jose,Grefg,2,17400,0
P0031,Mr,Villavicencio,1,18000,0
P0032,Marta,García,5,18600,300
P0033,Diego,Beast,5,19200,0
P0034,Jose,Díaz,2,19800,0
P0035,Diego,Grefg,3,20400,300
P0036,Marcos,García,5,21000,0
P0037,Alpha,García,5,21600,0
P0038,Jose,García,5,22200,300
P0039,Andrés,Alonso,3,22800,0
P0040,Auron,Alonso,5,23400,0
P0041,Laura,Villavicencio,2,24000,300
P0042,Guillermo,Fantoval,1,24600,0
P0043,Guillermo,Alonso,2,25200,0
P0044,The,Villavicencio,5,25800,300
P0045,Mr,Play,3,26400,0
P0046,Mr,Grande,5,27000,0
P0047,Cristian,Fantoval,5,27600,300
P0048,Diego,Khalifa,2,28200,0
P0049,Laura,Play,2,28800,0
P0050,Guillermo,Grande,4,29400,300
P0051,Mia,Díaz,4,30000,0
P0052,Luis,Lean,1,30600,0
P0053,Marcos,Solis,5,31200,300
P0054,Alpha,Díaz,5,31800,0
P0055,Marta,Play,2,32400,0
P0056,Jose,Lean,3,33000,300
P0057,Mariana,Khalifa,3,33600,0
P0058,Jose,Grande,4,34200,0
P0059,Diego,Slimming,2,34800,300
P0060,The,Solis,2,35400,0
P0061,Laura,Beast,4,36000,0
P0062,Auron,Solis,5,36600,300
P0063,Marcos,Khalifa,4,37200,0
P0064,Alpha,Solis,5,37800,0
P0065,Cristian,Alonso,5,38400,300
P0066,Mia,Alonso,5,39000,0
P0067,The,Villavicencio,3,39600,0
P0068,Marcos,Fantoval,5,40200,300
P0069,Alpha,Grande,2,40800,0
P0070,Alpha,Play,5,41400,0
P0071,Laura,Khalifa,1,42000,300
P0072,Mariana,García,5,42600,0
P0073,The,Grefg,5,43200,0
P0074,Marta,Grande,3,43800,300
P0075,Andrés,Alonso,4,44400,0
P0076,Alpha,Fantoval,5,45000,0
P0077,Mia,Sniper,2,45600,300
P0078,Marcos,Lean,4,46200,0
P0079,Alpha,Play,4,46800,0
P0080,Mariana,Sniper,4,47400,300
P0081,Alpha,Beast,3,48000,0
P0082,Marta,Lean,2,48600,0
P0083,Mariana,Lean,3,49200,300
P0084,Jose,Alonso,3,49800,0
